Description: ,Standardised Precipitation Index
Station: ,Ravenna.txt
Latitude: ,44
Longitude: ,12
ClimPACT2_version: ,1.2.8
Date_of_calculation: ,07/03/2020
time, spi
1990-08,-2.565648572
1990-09,-2.329792909
1990-10,-1.94435589
1990-11,-1.952701814
1990-12,-1.963040706
1991-01,-1.855439537
1991-02,-1.868543299
1991-03,-1.719865967
1991-04,-1.428410978
1991-05,-1.015925249
1991-06,-0.834624908
1991-07,-1.225075202
1991-08,-1.237368371
1991-09,-1.283636899
1991-10,-0.841867332
1991-11,-0.534061418
1991-12,-0.4321763
1992-01,-0.336525619
1992-02,-0.340186412
1992-03,-0.55597789
1992-04,-0.746329858
1992-05,-0.761889741
1992-06,-0.488157458
1992-07,-0.430026586
1992-08,-0.394964858
1992-09,-0.431747923
1992-10,-0.116499765
1992-11,-0.187550254
1992-12,0.129272214
1993-01,0.076615161
1993-02,-0.041830239
1993-03,0.049826053
1993-04,-0.046736173
1993-05,-0.541297365
1993-06,-0.489589425
1993-07,-0.518105602
1993-08,-0.248778946
1993-09,-0.176144574
1993-10,-0.087019097
1993-11,-0.352389508
1993-12,-0.300815939
1994-01,-0.008471228
1994-02,-0.031613046
1994-03,-0.079876174
1994-04,0.484182241
1994-05,0.528788089
1994-06,0.671677105
1994-07,0.637098742
1994-08,0.533880987
1994-09,1.065763428
1994-10,0.543739698
1994-11,0.588606469
1994-12,0.22347312
1995-01,0.297230028
1995-02,0.474233146
1995-03,0.494894239
1995-04,0.308441453
1995-05,0.664855384
1995-06,1.004553409
1995-07,1.012829067
1995-08,1.005158758
1995-09,1.009590066
1995-10,0.591610549
1995-11,0.471195535
1995-12,0.622611649
1996-01,0.514350598
1996-02,0.792384674
1996-03,0.949087868
1996-04,0.546994891
1996-05,0.847199857
1996-06,0.498099829
1996-07,0.458673406
1996-08,0.496365684
1996-09,0.68078001
1996-10,1.183251419
1996-11,1.308732877
1996-12,1.653002784
1997-01,1.861547784
1997-02,1.848425466
1997-03,1.732506545
1997-04,2.015731743
1997-05,1.814906362
1997-06,1.485666772
1997-07,1.433940832
1997-08,1.21136388
1997-09,1.114936219
1997-10,1.299984185
1997-11,1.744725797
1997-12,1.73335567
1998-01,1.693709136
1998-02,1.476909082
1998-03,1.323119449
1998-04,1.347737316
1998-05,1.371965376
1998-06,1.312443723
1998-07,1.425415564
1998-08,1.317946456
1998-09,0.906700607
1998-10,0.573792068
1998-11,0.53030958
1998-12,0.309039787
1999-01,0.254170639
1999-02,0.281101815
1999-03,0.178407034
1999-04,0.008170408
1999-05,0.110346122
1999-06,0.426066551
1999-07,0.36285561
1999-08,0.731422961
1999-09,1.069099849
1999-10,1.157521953
1999-11,1.661969532
1999-12,1.596739112
2000-01,1.696647346
2000-02,1.756388014
2000-03,1.65418915
2000-04,1.680712822
2000-05,1.371569442
2000-06,1.315157158
2000-07,1.435102771
2000-08,1.505235445
2000-09,1.108666706
2000-10,1.333482038
2000-11,1.657101064
2000-12,1.515552583
2001-01,1.838062385
2001-02,1.88960073
2001-03,1.983179288
2001-04,2.276037024
2001-05,2.293569733
2001-06,1.768684273
2001-07,1.849994015
2001-08,1.735014643
2001-09,1.496794116
2001-10,1.33719629
2001-11,0.4541099
2001-12,0.171794768
2002-01,0.110935103
2002-02,0.235305735
2002-03,0.125289859
2002-04,0.382131356
2002-05,0.654593042
2002-06,0.639991741
2002-07,0.69312581
2002-08,1.109438652
2002-09,1.308502426
2002-10,1.08140937
2002-11,0.829913091
2002-12,1.206214539
2003-01,1.021909499
2003-02,0.99614635
2003-03,0.792883259
2003-04,0.558562314
2003-05,0.46871185
2003-06,0.432056525
2003-07,0.416746747
2003-08,-0.05181357
2003-09,-0.202972927
2003-10,-8.79E-05
2003-11,0.14553024
2003-12,0.053132946
2004-01,0.258486438
2004-02,0.454931666
2004-03,0.730432348
2004-04,0.670881086
2004-05,0.522711786
2004-06,0.519721239
2004-07,0.310383871
2004-08,-0.19817831
2004-09,-0.400549497
2004-10,-0.372721639
2004-11,-0.409498384
2004-12,-0.750979821
2005-01,-0.985365005
2005-02,-0.849135594
2005-03,-0.887613011
2005-04,-0.598342131
2005-05,-0.592555141
2005-06,-0.51780299
2005-07,-0.513751632
2005-08,-0.194051992
2005-09,0.175650274
2005-10,0.584730581
2005-11,0.61089352
2005-12,0.748014882
2006-01,0.613855909
2006-02,0.349353982
2006-03,0.25487909
2006-04,0.222120286
2006-05,0.349541762
2006-06,0.294530755
2006-07,0.227092279
2006-08,0.404636106
2006-09,0.658236503
2006-10,0.464852036
2006-11,0.331826434
2006-12,-0.099080329
2007-01,-0.01560122
2007-02,-0.129169199
2007-03,0.296067751
2007-04,-0.120964354
2007-05,0.002760744
2007-06,0.091365178
2007-07,0.066179608
2007-08,-0.155638881
2007-09,-0.021747125
2007-10,-0.269148829
2007-11,-0.648366171
2007-12,-0.746174776
2008-01,-0.677474603
2008-02,-0.733295117
2008-03,-0.570234468
2008-04,-0.644576726
2008-05,-0.636177347
2008-06,-0.515887097
2008-07,-0.354731769
2008-08,-0.628977182
2008-09,-0.826472427
2008-10,-0.85397146
2008-11,-0.664968401
2008-12,-0.315355833
2009-01,-0.107952739
2009-02,-0.114160424
2009-03,-0.43908969
2009-04,-0.21034582
2009-05,-0.460133695
2009-06,-0.460522314
2009-07,-0.452077847
2009-08,-0.538569465
2009-09,-1.136185537
2009-10,-1.135367229
2009-11,-1.203990539
2009-12,-0.987205306
2010-01,-0.616745674
2010-02,-0.360421921
2010-03,-0.334033742
2010-04,-0.231901886
2010-05,-0.075912783
2010-06,-0.045928741
2010-07,-0.126395104
2010-08,0.228653603
2010-09,0.313244107
2010-10,0.514804739
2010-11,0.655299357
2010-12,0.497000813
2011-01,0.424692811
2011-02,0.379520461
2011-03,0.652352966
2011-04,0.48849873
2011-05,0.605256578
2011-06,0.605257374
2011-07,0.752141594
2011-08,0.686070486
2011-09,0.73263014
2011-10,0.348234562
2011-11,0.304029464
2011-12,0.044001048
2012-01,-0.314302244
2012-02,-0.440879723
2012-03,-0.808770386
2012-04,-0.848370509
2012-05,-1.10154571
2012-06,-1.275189533
2012-07,-1.30401377
2012-08,-1.744311618
2012-09,-1.413755218
2012-10,-1.548265365
2012-11,-1.653641123
2012-12,-1.571540785
2013-01,-1.337649515
2013-02,-0.894290126
2013-03,-0.776478831
2013-04,-0.602266795
2013-05,-0.550146183
2013-06,-0.639430927
2013-07,-0.711529391
2013-08,-0.496598531
2013-09,-0.370807493
2013-10,0.035030273
2013-11,0.43784746
2013-12,0.322935872
2014-01,0.620476751
2014-02,0.624153631
2014-03,0.882537437
2014-04,0.800580696
2014-05,0.720666255
2014-06,0.886707479
2014-07,1.123222347
2014-08,1.47383983
2014-09,1.150254747
2014-10,1.222834492
2014-11,1.084427463
2014-12,1.164691854
2015-01,0.971571506
2015-02,0.976676191
2015-03,0.880137086
2015-04,0.995177948
2015-05,1.269661751
2015-06,1.572031584
2015-07,1.48223394
2015-08,1.493521741
2015-09,1.33405922
2015-10,1.380908614
2015-11,1.177174271
2015-12,1.113380056
2016-01,0.961231007
2016-02,1.184184103
2016-03,1.11780524
2016-04,1.171331664
2016-05,1.284858327
2016-06,1.386198307
2016-07,1.207736575
2016-08,0.900867312
2016-09,1.049061728
2016-10,0.854119656
2016-11,1.003598498
2016-12,0.696622203
2017-01,0.775450705
2017-02,0.450978501
2017-03,0.002533396
2017-04,-0.105234582
2017-05,-0.400983959
2017-06,-0.684297712
2017-07,-0.655230373
2017-08,-0.74786508
2017-09,-0.46172987
2017-10,-1.002732297
2017-11,-0.240276135
2017-12,-0.104395243
2018-01,-0.107952739
2018-02,0.224946196
2018-03,0.313170801
2018-04,0.182882142
2018-05,0.148933358
2018-06,0.13309635
2018-07,0.150587941
2018-08,0.339495746
2018-09,0.124266566
2018-10,0.528673308
2018-11,0.503566388
2018-12,0.526626115
