"Description: ","Standardised Precipitation Index"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, spi
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, 0.00541479966253203
1971-07, -0.675678329105262
1971-08, -0.959548286407289
1971-09, -0.330586908793771
1971-10, -0.504209474663206
1971-11, -0.282401238956177
1971-12, -0.511091618975604
1972-01, 0.529394753548179
1972-02, 1.16963334475838
1972-03, 0.811630178650925
1972-04, 1.84428718457163
1972-05, 1.87218765935851
1972-06, 1.7703662053424
1972-07, 1.45372252383803
1972-08, 1.07620435697875
1972-09, 1.7353198822205
1972-10, 0.827255907632727
1972-11, 0.689153505128166
1972-12, 0.808114502238301
1973-01, 1.12302807447724
1973-02, 1.11979651778415
1973-03, 0.7364142874053
1973-04, 1.12260202557235
1973-05, 1.20353662819542
1973-06, 1.18594569745206
1973-07, 0.533557929081196
1973-08, 0.0921492500459735
1973-09, 1.01908496510711
1973-10, 0.675354812341737
1973-11, 0.495835815319329
1973-12, 0.158528955504144
1974-01, -0.0666103559472909
1974-02, 0.0577904990155018
1974-03, -1.49974662058722
1974-04, -1.35961206654409
1974-05, -1.0716134421578
1974-06, -0.318182486440551
1974-07, 0.102012348657919
1974-08, 0.345809713553146
1974-09, -0.034602251513541
1974-10, -0.230540929840725
1974-11, -0.416128526518512
1974-12, -0.807152293137371
1975-01, -1.32896221962157
1975-02, -1.64659507394613
1975-03, -1.11759975636139
1975-04, -1.15801135942384
1975-05, -0.293394281608175
1975-06, 0.309851339532306
1975-07, 0.619501300150099
1975-08, 1.17709508224553
1975-09, 0.655135429751749
1975-10, 1.05722134693209
1975-11, 0.602155927935301
1975-12, -0.00096890624543092
1976-01, -0.117081866892524
1976-02, -0.26592642282069
1976-03, 0.238184970249478
1976-04, -0.251361123975161
1976-05, -0.874825466583119
1976-06, -0.588011007472639
1976-07, -0.417300916080086
1976-08, 0.364302627527071
1976-09, 0.676663426103848
1976-10, 1.09874757525791
1976-11, 1.13389671252063
1976-12, 1.20503922892914
1977-01, 1.12366766671371
1977-02, 0.425865790047907
1977-03, 0.0651033211760709
1977-04, -0.41863475238993
1977-05, -0.58401753990228
1977-06, -0.867770775752878
1977-07, -0.624027406970908
1977-08, -0.0418828749801811
1977-09, -0.454711758509865
1977-10, -0.581747751034441
1977-11, -0.190169060378728
1977-12, -0.159405011438569
1978-01, -0.0632677580829463
1978-02, -0.47834559723857
1978-03, -0.134181709016477
1978-04, 0.0965828867028595
1978-05, 0.0603765317576521
1978-06, 0.267365275669496
1978-07, -0.0305488553845253
1978-08, -0.120958336954859
1978-09, -0.39375353537526
1978-10, -0.336477479957466
1978-11, -0.670646587556618
1978-12, -0.342722812499175
1979-01, -0.389414307891957
1979-02, -0.16148796089053
1979-03, 0.0415723838146448
1979-04, -0.358424934693108
1979-05, -0.761730798588928
1979-06, -1.31873921282066
1979-07, -0.337261067482426
1979-08, 0.381582791229438
1979-09, 0.455812056575739
1979-10, 0.332463108439653
1979-11, 1.20271825913372
1979-12, 1.21905480966739
1980-01, 0.510456491162957
1980-02, -0.362723152703187
1980-03, -0.351600871003038
1980-04, 0.127604919503875
1980-05, 0.0215659489184593
1980-06, -0.0183643235692754
1980-07, -0.360191061904269
1980-08, -0.272437796027439
1980-09, -0.604127359896146
1980-10, -0.99956643014204
1980-11, 0.139188969201405
1980-12, 0.335750731711725
1981-01, 0.816614845175781
1981-02, 0.858494047662544
1981-03, 1.0927523859291
1981-04, 0.984656901093162
1981-05, -0.347151247286537
1981-06, 0.633304526605805
1981-07, 0.306685451903329
1981-08, 0.646545621535772
1981-09, 1.37120399133654
1981-10, 1.38488946591602
1981-11, 0.789179059111953
1981-12, -0.0988577449339964
1982-01, -0.233878739400028
1982-02, -0.615468280825887
1982-03, -1.2593075898697
1982-04, -1.14564506366644
1982-05, -0.382570934256566
1982-06, -0.768862382635314
1982-07, -0.0891484199704108
1982-08, 0.577043312234991
1982-09, -0.00556296329016936
1982-10, 0.410497056448171
1982-11, 0.699498570789878
1982-12, 1.10719552853788
1983-01, 0.608641177882862
1983-02, 0.314045171723794
1983-03, 0.226923790502906
1983-04, -0.134858530477039
1983-05, -1.08846235443244
1983-06, -1.37753324578142
1983-07, -1.85119552341749
1983-08, -1.5032167347377
1983-09, -1.54170005329083
1983-10, -1.71259088783617
1983-11, -2.25675867690805
1983-12, -2.2238359554422
1984-01, -1.9046014102898
1984-02, -1.95378066049532
1984-03, -1.12338490984684
1984-04, -1.09783562627843
1984-05, 0.0903378368609269
1984-06, -0.0152550991207455
1984-07, 0.0747755247465823
1984-08, 0.174066289099189
1984-09, 0.28341481724575
1984-10, 0.540974693919312
1984-11, -0.274037261962014
1984-12, -0.0409033512195652
1985-01, -0.0917676936067698
1985-02, -0.366492627259254
1985-03, -0.431674532048349
1985-04, -0.958218298352583
1985-05, -0.882834592131916
1985-06, -0.969387323208828
1985-07, -1.50820262986089
1985-08, -1.61841097439881
1985-09, -2.22770349827494
1985-10, -1.8334572594389
1985-11, -1.7283527252849
1985-12, -1.37750019581651
1986-01, -0.581838101012972
1986-02, -0.444556010547977
1986-03, 0.490709994658341
1986-04, 0.616249627874325
1986-05, 0.617659246302399
1986-06, 0.687564355737375
1986-07, 0.98239269891416
1986-08, 0.550336953914416
1986-09, -0.205143271749603
1986-10, -0.920464212455064
1986-11, -1.21509620218881
1986-12, -1.63014205028218
