"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, 0.560170124608518
1971-04, -0.406261281055275
1971-05, 0.133692718053873
1971-06, 0.139880067699046
1971-07, 0.472014566455915
1971-08, -0.325817640491846
1971-09, 0.163556408775335
1971-10, -0.326896358856631
1971-11, 0.45369579322796
1971-12, -0.435115992218819
1972-01, 1.42155700514432
1972-02, 1.83576917395763
1972-03, 1.5633186364039
1972-04, 1.75459393875413
1972-05, 1.83232256038392
1972-06, 2.25829888078922
1972-07, 2.30632376206833
1972-08, 1.92527435722195
1972-09, 2.11408148521489
1972-10, 1.42871768219168
1972-11, 1.07884873780364
1972-12, -0.35590679864924
1973-01, 1.0096467058622
1973-02, 1.42663708956264
1973-03, 1.53414143147939
1973-04, 1.08125284216934
1973-05, 0.678638436470751
1973-06, 0.0244139080629077
1973-07, -0.367998675327347
1973-08, -0.54510479970684
1973-09, 1.13746267961267
1973-10, 1.05970934060592
1973-11, 1.06813093182882
1973-12, -1.21551582928308
1974-01, -1.29426040959017
1974-02, -1.23120359243366
1974-03, -0.338248271238455
1974-04, 0.0405920666743936
1974-05, 0.135133049999597
1974-06, 0.40454158610459
1974-07, 0.471583889601109
1974-08, 0.361027376666539
1974-09, -0.354304954241312
1974-10, -0.654953481366453
1974-11, -0.897460794101988
1974-12, -0.685629711638197
1975-01, -1.01408978823806
1975-02, -1.23599841703144
1975-03, -0.454237911710517
1975-04, -0.202922071738927
1975-05, 0.750119125677345
1975-06, 0.947493141981831
1975-07, 0.837685982711657
1975-08, 0.65053231864823
1975-09, -0.0263848231379451
1975-10, 0.599447563759918
1975-11, 0.124185308728586
1975-12, 0.123410070708303
1976-01, -0.497140546386443
1976-02, -0.51761166082937
1976-03, 0.597236394483398
1976-04, 0.0578878016691879
1976-05, -1.51547274868943
1976-06, -1.94114817397362
1976-07, -1.37837291122327
1976-08, 1.01635420181794
1976-09, 1.61491837157346
1976-10, 1.8577445573406
1976-11, 0.879286380883064
1976-12, 0.250059375293325
1977-01, -0.133543209518304
1977-02, -0.0424387630935812
1977-03, 0.0145360472872583
1977-04, -0.346846820440489
1977-05, -0.494618552338898
1977-06, -0.898090760114653
1977-07, -0.248805331316289
1977-08, 0.616612169156485
