"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, 0.398639626465823
1971-07, 0.108494100496339
1971-08, -0.185728837438798
1971-09, 0.154535107215827
1971-10, 0.0389742469342767
1971-11, 0.146899704569428
1971-12, -0.159795883505396
1972-01, 0.704206879420422
1972-02, 1.41013094660335
1972-03, 0.883665515859113
1972-04, 1.90852715908143
1972-05, 2.0263482800776
1972-06, 2.14104460654973
1972-07, 2.15398480837304
1972-08, 2.35738720017394
1972-09, 2.74194315392395
1972-10, 2.14904932952118
1972-11, 1.80837848351633
1972-12, 1.63638245501916
1973-01, 1.54576161639994
1973-02, 1.48983023503619
1973-03, 0.901873244823071
1973-04, 1.25753358794933
1973-05, 1.24897666310037
1973-06, 1.07323359567043
1973-07, 0.455369487215052
1973-08, -0.0115602926640525
1973-09, 0.868399070433319
1973-10, 0.561999289802874
1973-11, 0.455161855638521
1973-12, 0.181767843863137
1974-01, 0.025230851683246
1974-02, 0.225904475842159
1974-03, -1.16717484979823
1974-04, -0.979561861620828
1974-05, -0.528140343376372
1974-06, 0.0555161127019371
1974-07, 0.322250100946517
1974-08, 0.29036722511177
1974-09, -0.0562982221479036
1974-10, -0.168033665512069
1974-11, -0.297350436566514
1974-12, -0.745315075343349
1975-01, -1.09659616452419
1975-02, -1.26580375802875
1975-03, -0.863384255395625
1975-04, -0.925714069388937
1975-05, -0.062268703585444
1975-06, 0.357075779790997
1975-07, 0.431083909297981
1975-08, 0.857539484631286
1975-09, 0.505629444328028
1975-10, 0.859618834058486
1975-11, 0.572799471887944
1975-12, 0.0621014387300104
1976-01, 0.0673543367097501
1976-02, -0.222663139836725
1976-03, 0.366579445633267
1976-04, -0.388860409495684
1976-05, -1.42631897466544
1976-06, -1.15796171943712
1976-07, -0.986442762564594
1976-08, -0.232681187537452
1976-09, 0.0445483938384379
1976-10, 0.784924665876755
1976-11, 1.22764847317458
1976-12, 1.42913043657005
1977-01, 1.42087150789913
1977-02, 0.585371191344944
1977-03, 0.0678237564341694
1977-04, -0.371686963836281
1977-05, -0.352118040559639
1977-06, -0.634469579210409
1977-07, -0.332320739934154
1977-08, 0.106460191806215
