"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -99.9
1971-07, -99.9
1971-08, -99.9
1971-09, -99.9
1971-10, -99.9
1971-11, -99.9
1971-12, 0.0920266184482653
1972-01, 0.510577049865729
1972-02, 0.85986274822587
1972-03, 0.673263831681328
1972-04, 1.40268285247168
1972-05, 1.50456109793253
1972-06, 1.5504043500293
1972-07, 1.99808658671715
1972-08, 2.19566047239771
1972-09, 2.18578617388139
1972-10, 2.21699247472802
1972-11, 2.1548514399887
1972-12, 2.31719053693455
1973-01, 2.32456826786161
1973-02, 2.32716375745659
1973-03, 2.31106230062767
1973-04, 2.18260312045984
1973-05, 1.89002475665526
1973-06, 1.77474687905632
1973-07, 1.34082128592202
1973-08, 0.98095361508479
1973-09, 1.11941091429869
1973-10, 1.10766175618188
1973-11, 0.983587360294186
1973-12, 0.764964814611768
1974-01, 0.280648676305804
1974-02, 0.148166365864861
1974-03, -0.0419947248623836
1974-04, -0.192541536400315
1974-05, -0.0214685701664539
1974-06, 0.0925175978932244
1974-07, 0.161446065938771
1974-08, 0.331284860792997
1974-09, -0.702705161124842
1974-10, -0.644469818925851
1974-11, -0.507430898684318
1974-12, -0.489447064939087
1975-01, -0.542472888310372
1975-02, -0.585834520152396
1975-03, -0.522854241636051
1975-04, -0.681237822837725
1975-05, -0.290534253270186
1975-06, -0.311170483524308
1975-07, -0.525449792905698
1975-08, -0.194683854516154
1975-09, -0.0678726480808381
1975-10, 0.1590352649826
1975-11, 0.318454322675393
1975-12, 0.20266013253216
1976-01, 0.291355628819493
1976-02, 0.461697215467327
1976-03, 0.61014615933671
1976-04, 0.351472660366451
1976-05, -0.427976470069106
1976-06, -0.780702337665178
1976-07, -0.646710108340983
1976-08, -0.277185797533418
1976-09, 0.339799405178235
1976-10, 0.370539911063833
1976-11, 0.158507173000544
1976-12, 0.316170304118998
1977-01, 0.447094857297467
1977-02, 0.231697077491581
1977-03, 0.124876344008248
1977-04, 0.30220613528835
1977-05, 0.692945569214513
1977-06, 0.663556309765316
1977-07, 0.808519275634644
1977-08, 0.434571460943925
1977-09, 0.0173633679687631
1977-10, -0.294195190786894
1977-11, -0.154401441717654
1977-12, -0.360957725724582
1978-01, -0.152442757580425
1978-02, -0.175262859288271
1978-03, -0.162674782577629
1978-04, 0.072145092831822
1978-05, 0.443606223436414
1978-06, 0.600148911031537
1978-07, 0.595517025763155
1978-08, 0.292422531947232
1978-09, 0.364589311209206
1978-10, 0.560786619274838
1978-11, 0.35572591124467
1978-12, 0.492123868374721
1979-01, 0.396327270136719
1979-02, 0.491814580479573
1979-03, 0.425970683263774
1979-04, 0.17316568541107
1979-05, -0.377835947474129
1979-06, -0.654164485398302
1979-07, -0.193131506857717
1979-08, 0.26787194263858
1979-09, 0.541378423924139
1979-10, 0.308787128171823
1979-11, 0.67313184607716
1979-12, 0.486716258790068
1980-01, 0.489815705881319
1980-02, 0.19639307417212
1980-03, 0.325984467258377
1980-04, 0.540077025200263
1980-05, 1.26745653926268
1980-06, 1.40028819037346
1980-07, 0.790506980150338
1980-08, 0.212476739093031
1980-09, 0.0411094931634475
1980-10, 0.173862755371363
1980-11, 0.622708651014095
1980-12, 0.646855170496646
1981-01, 0.88114283601216
1981-02, 0.939337105742546
1981-03, 0.85978953082517
1981-04, 0.60861868372983
1981-05, 0.234855578832717
1981-06, 0.81195093351773
1981-07, 1.00861416304605
1981-08, 1.1096195610876
1981-09, 1.62437622361496
1981-10, 1.53905476706653
1981-11, 0.717075234280492
1981-12, 0.613961874293853
1982-01, 0.427197906319166
1982-02, 0.396014486755962
1982-03, 0.646092161121828
1982-04, 0.711652545740851
1982-05, 0.762550726430513
1982-06, -0.16495525612999
1982-07, 0.142880940609915
1982-08, 0.272149497340887
1982-09, -0.338033115173987
1982-10, 0.0771188536560104
1982-11, 0.607669914198029
1982-12, 0.685006085104669
1983-01, 0.699126652708219
1983-02, 0.765845212261685
1983-03, 0.414638423149354
1983-04, 0.41419104024035
1983-05, 0.29848038975962
1983-06, 0.537014204405481
1983-07, -0.0399798105833332
1983-08, -0.171854055951602
1983-09, -0.342585800135075
1983-10, -0.67800333636605
1983-11, -1.30662389288666
1983-12, -1.43777629667514
1984-01, -1.43258358939373
1984-02, -1.39171980957435
1984-03, -1.23573271129759
1984-04, -1.38584486211465
1984-05, -0.98387940721675
1984-06, -1.13748292443569
1984-07, -1.01160954309961
1984-08, -0.913870524330778
1984-09, -0.393230202180392
1984-10, -0.12010773159065
1984-11, 0.0641784726212816
1984-12, 0.0540902087730206
1985-01, 0.127089476066346
1985-02, -0.0275700206396415
1985-03, 0.0925482903932768
1985-04, 0.0896960060852978
1985-05, -0.279812633177884
1985-06, -0.228957945303268
1985-07, -0.451477396533181
1985-08, -0.849885303145732
1985-09, -1.39158391922412
1985-10, -1.60114698767878
1985-11, -1.4037742171241
1985-12, -1.33975982509122
1986-01, -1.14887382559812
1986-02, -1.13248758816067
1986-03, -0.887216116997941
1986-04, -0.596311493545983
1986-05, -0.753482998500366
1986-06, -0.703446844879092
1986-07, -0.0644560030584761
1986-08, -0.129192600031638
1986-09, 0.237464348634772
1986-10, 0.00496621029750068
1986-11, -0.219733497276551
1986-12, -0.475076851738065
1987-01, -0.494013078068841
1987-02, -0.406432011913073
