"Description: ","Standardised Precipitation Index"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, spi
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -99.9
1971-07, -99.9
1971-08, -99.9
1971-09, -99.9
1971-10, -99.9
1971-11, -99.9
1971-12, -0.440609529795649
1972-01, 0.0768860476271195
1972-02, 0.511373392248589
1972-03, 0.365664587381399
1972-04, 1.20200792177968
1972-05, 1.11251891499294
1972-06, 0.875636996225476
1972-07, 1.16918391128749
1972-08, 1.41485909474977
1972-09, 1.64443043577778
1972-10, 1.80685257641241
1972-11, 1.58080955080567
1972-12, 1.66724654471286
1973-01, 1.66012922476115
1973-02, 1.5039493842838
1973-03, 1.73073239266161
1973-04, 1.34153303519634
1973-05, 1.2257945313846
1973-06, 1.33066456776614
1973-07, 1.16690797421993
1973-08, 0.884531500313052
1973-09, 1.10716082797531
1973-10, 1.16201241238916
1973-11, 1.01951422271991
1973-12, 0.824506131314976
1974-01, 0.196550388831595
1974-02, 0.0296581568094842
1974-03, -0.280658309628524
1974-04, -0.471947727707527
1974-05, -0.306735074104869
1974-06, -0.161843364099831
1974-07, -0.0802121714429484
1974-08, 0.162777689168565
1974-09, -1.08584111538687
1974-10, -1.12408271264432
1974-11, -0.961357648214325
1974-12, -0.864429517037259
1975-01, -0.985861202118781
1975-02, -1.06796028504823
1975-03, -0.953463440195516
1975-04, -1.06611922628677
1975-05, -0.5459587086799
1975-06, -0.462671789173521
1975-07, -0.690304488307765
1975-08, -0.40931228596434
1975-09, -0.335547581741387
1975-10, -0.0446754583524301
1975-11, 0.193597406856848
1975-12, 0.123022665971918
1976-01, 0.206962578405525
1976-02, 0.46052462530045
1976-03, 0.550978529997537
1976-04, 0.505196973506359
1976-05, -0.115977394216863
1976-06, -0.458348537571798
1976-07, -0.4043168789429
1976-08, -0.0657492907882441
1976-09, 0.53120855175711
1976-10, 0.499429015242686
1976-11, 0.299306207811881
1976-12, 0.57640767838879
1977-01, 0.742636932369111
1977-02, 0.500031345106942
1977-03, 0.437330965421199
1977-04, 0.429387807685551
1977-05, 0.471326530887293
1977-06, 0.457172509852336
1977-07, 0.628104227034999
1977-08, 0.244295405282061
1977-09, -0.314901416579148
1977-10, -0.740609176771754
1977-11, -0.528621642484319
