year,p,pet,aet,pu,pu/p,infl,ds
Jun-17,45.4,162.49,76.96,25.2,0.56,0,-56.76
Jul-17,6,166.93,20.85,8.83,1.47,0,-23.68
Aug-17,31,158.42,34.65,6.33,0.2,0,-9.99
Sep-17,67.2,92.91,67.59,9.67,0.14,0,-10.05
Oct-17,21.8,61.8,22.26,7,0.32,0,-7.46
Nov-17,211,27.22,27.22,29,0.14,154.78,154.78
Dec-17,35.8,12.18,12.18,9.67,0.27,13.95,13.95
Jan-18,15.2,16.06,16.06,3.17,0.21,0,-4.03
Feb-18,191.6,11.35,11.35,78.43,0.41,101.82,101.82
Mar-18,89,25.4,25.4,52.27,0.59,11.33,11.33
Apr-18,11.6,77.21,62.74,1.33,0.11,0,-52.48
May-18,50,111.78,79.01,4.5,0.09,0,-33.51
Jun-18,83.4,148.46,101.89,8.67,0.1,0,-27.16
Jul-18,23.6,167.59,42.23,16.17,0.69,0,-34.8
Aug-18,68.6,155.48,72.95,29.27,0.43,0,-33.61
Sep-18,30.6,108.61,32.62,3,0.1,0,-5.02
Oct-18,105,65.85,65.85,4.17,0.04,34.98,34.98
Nov-18,80,36.63,36.63,12.83,0.16,30.54,30.54
Dec-18,41.6,8.67,8.67,8.17,0.2,24.77,24.77
