year,p,pet,aet,pu,pu.p,infl,ds
Jul-09,11.8,164.33,26.46,4.69,0.4,0,-19.36
Aug-09,13,157.59,17.25,1.16,0.09,0,-5.41
Sep-09,10,107.61,11.07,0,0,0,-1.07
Oct-09,127.4,58.94,58.94,3.37,0.03,65.09,65.09
Nov-09,18.2,29.78,29.26,2.72,0.15,0,-13.78
Dec-09,81.6,8.87,8.87,6.62,0.08,66.12,66.12
Jan-10,93.8,3.85,3.85,25.53,0.27,64.42,64.42
Feb-10,87,13.35,13.35,44.09,0.51,29.55,29.55
Mar-10,82.8,31.02,31.02,45.54,0.55,6.24,6.24
Apr-10,74.8,61.74,61.74,41.16,0.55,0,-28.1
May-10,100,100.48,100.48,27.88,0.28,0,-28.36
Jun-10,42.8,138.23,109.47,13.85,0.32,0,-80.52
Jul-10,21.6,172.47,62.68,11.5,0.53,0,-52.59
Aug-10,86,139.21,92.12,11.67,0.14,0,-17.79
Sep-10,66.2,92.26,68.38,5.36,0.08,0,-7.54
Oct-10,65.8,52.36,52.36,7.38,0.11,6.05,6.05
Nov-10,105,32.22,32.22,32.63,0.31,40.15,40.15
Dec-10,51.2,5.4,5.4,36.82,0.72,8.98,8.98
Jan-11,30.6,6.27,6.27,16.36,0.53,7.97,7.97
Feb-11,26.2,15.88,15.88,16.18,0.62,0,-5.86
Mar-11,110.4,31.24,31.24,69.69,0.63,9.46,9.46
Apr-11,15,74.35,62.33,15.01,1,0,-62.34
May-11,34.6,107.34,69.1,21.28,0.61,0,-55.78
Jun-11,39.4,143.74,64.27,14.87,0.38,0,-39.75
Jul-11,43.8,152.88,54.98,10.86,0.25,0,-22.04
Aug-11,0,155.77,5.76,6.1,0,0,-11.86
Sep-11,27.2,119.85,28.43,9.48,0.35,0,-10.71
Oct-11,29.8,56.47,30.02,1.57,0.05,0,-1.79
Nov-11,8.6,25.79,8.72,0.74,0.09,0,-0.86
Dec-11,27,13.2,13.2,0.94,0.03,12.86,12.86
Jan-12,8.2,6.22,6.22,0.94,0.11,1.04,1.04
Feb-12,67,2.94,2.94,4.41,0.07,59.66,59.66
Mar-12,1.8,44.79,38.22,4.49,2.49,0,-40.91
Apr-12,69.8,60.78,60.78,9.25,0.13,0,-0.23
May-12,52.8,99.32,91.7,4.49,0.09,0,-43.39
Jun-12,5.2,156.53,66.09,6.7,1.29,0,-67.6
Jul-12,17.4,177.79,36.27,3.82,0.22,0,-22.69
Aug-12,1.4,162.78,6.7,0,0,0,-5.3
Sep-12,106,102.08,102.08,1.95,0.02,1.96,1.96
Oct-12,50.2,65.24,64.38,2.47,0.05,0,-16.65
Nov-12,97,36.32,36.32,10.43,0.11,50.25,50.25
Dec-12,61.2,6.12,6.12,14.77,0.24,40.31,40.31
Jan-13,73.2,9.13,9.13,20.2,0.28,43.87,43.87
Feb-13,123.2,9.69,9.69,49.69,0.4,63.82,63.82
Mar-13,126.6,27.67,27.67,73.06,0.58,25.86,25.86
Apr-13,49.4,63.73,62.95,29.97,0.61,0,-43.52
May-13,46.4,94.06,81.82,18.98,0.41,0,-54.4
Jun-13,18.2,137.14,65.26,12.53,0.69,0,-59.59
Jul-13,29.2,165.78,49.04,7.78,0.27,0,-27.61
Aug-13,42.6,148.11,48.35,5.88,0.14,0,-11.63
Sep-13,45,104.2,46.65,0.86,0.02,0,-2.5
Oct-13,125.8,63.09,63.09,13.01,0.1,49.7,49.7
Nov-13,104.6,36.26,36.26,20.82,0.2,47.51,47.51
Dec-13,6.6,11.79,11.69,8.22,1.24,0,-13.3
Jan-14,71.4,18.14,18.14,17.47,0.24,35.8,35.8
Feb-14,65.8,27.43,27.43,46.52,0.71,0,-8.16
Mar-14,71.4,42.77,42.77,35.82,0.5,0,-7.19
Apr-14,51.6,70.94,69.53,17.02,0.33,0,-34.95
May-14,32.2,98.38,76.35,11.16,0.35,0,-55.32
Jun-14,51.8,145.54,85.34,12.57,0.24,0,-46.11
Jul-14,72,144.97,85.35,14.9,0.21,0,-28.26
Aug-14,96.8,137.23,101.47,17.93,0.19,0,-22.6
Sep-14,35,94.89,39.67,2.48,0.07,0,-7.16
Oct-14,62.8,69.4,63.19,1.83,0.03,0,-2.22
Nov-14,56.2,40.15,40.15,5.01,0.09,11.04,11.04
Dec-14,94.4,16.41,16.41,45.42,0.48,32.57,32.57
Jan-15,12.8,13.17,13.17,14.81,1.16,0,-15.17
Feb-15,118.8,18.22,18.22,64.79,0.55,35.78,35.78
Mar-15,112.2,36.24,36.24,52.28,0.47,23.68,23.68
Apr-15,70,64.41,64.41,27.84,0.4,0,-22.24
May-15,111.8,104.49,104.49,36.15,0.32,0,-28.84
Jun-15,105.6,146.91,140.82,33.19,0.31,0,-68.41
Jul-15,0,186.3,70.09,18.14,0,0,-88.22
Aug-15,51.8,147.65,62.82,2.32,0.04,0,-13.34
Sep-15,24.2,106.03,28.82,10,0.41,0,-14.62
Oct-15,130.2,55.02,55.02,2.17,0.02,73.01,73.01
Nov-15,42,29.36,29.36,2.87,0.07,9.78,9.78
Dec-15,3,11.53,11.25,1.23,0.41,0,-9.48
Jan-16,21.8,12.06,12.06,3.45,0.16,6.28,6.28
Feb-16,114.6,26.43,26.43,21.94,0.19,66.22,66.22
Mar-16,66.6,37.63,37.63,38.97,0.59,0,-10.01
Apr-16,45,68.37,66.33,7.96,0.18,0,-29.28
May-16,57.8,96.73,85.62,10.64,0.18,0,-38.47
Jun-16,85.4,138.45,111.81,19.9,0.23,0,-46.31
Jul-16,21.4,168.98,56.21,13.01,0.61,0,-47.81
Aug-16,24.4,141.06,33.84,17.37,0.71,0,-26.81
Sep-16,83.2,109.05,84.35,15.31,0.18,0,-16.46
Oct-16,6.8,54.91,8.4,6.14,0.9,0,-7.74
Nov-16,86.8,30.13,30.13,29.07,0.33,27.6,27.6
Dec-16,28.4,8.82,8.82,9.83,0.35,9.75,9.75
Jan-17,23,4.34,4.34,11.05,0.48,7.61,7.61
Feb-17,40,20.34,20.34,10.24,0.26,9.43,9.43
Mar-17,12.4,45.97,41.87,7.78,0.63,0,-37.25
Apr-17,43.2,68.24,60.6,4.5,0.1,0,-21.9
May-17,49.8,102.33,76.78,10.43,0.21,0,-37.4
Jun-17,45.4,162.49,76.96,21.53,0.47,0,-53.1
Jul-17,6,166.93,20.85,20.89,3.48,0,-35.74
Aug-17,31,158.42,34.65,21.43,0.69,0,-25.08
Sep-17,67.2,92.91,67.59,10.41,0.15,0,-10.8
Oct-17,21.8,61.8,22.26,0.82,0.04,0,-1.28
Nov-17,211,27.22,27.22,21.85,0.1,161.93,161.93
Dec-17,35.8,12.18,12.18,7.26,0.2,16.36,16.36
Jan-18,15.2,16.06,16.06,7.97,0.52,0,-8.83
Feb-18,191.6,11.35,11.35,101.29,0.53,78.97,78.97
Mar-18,89,25.4,25.4,79.68,0.9,0,-16.08
Apr-18,11.6,77.21,62.74,9.23,0.8,0,-60.37
May-18,50,111.78,79.01,3.43,0.07,0,-32.44
Jun-18,83.4,148.46,101.89,23.72,0.28,0,-42.21
Jul-18,23.6,167.59,42.23,24.21,1.03,0,-42.84
Aug-18,68.6,155.48,72.95,20.16,0.29,0,-24.5
Sep-18,30.6,108.61,32.62,11.01,0.36,0,-13.03
Oct-18,105,65.85,65.85,1.58,0.02,37.56,37.56
Nov-18,80,36.63,36.63,4.26,0.05,39.12,39.12
Dec-18,41.6,8.67,8.67,6.07,0.15,26.86,26.86
