year, r99p
1970, -99.9
1971, 54.8
1972, 120.2
1973, 77.2
1974, 0
1975, 0
1976, 145.2
1977, 0
1978, 0
1979, 123.8
1980, 54.4
1981, 130.3
1982, 118.2
1983, 0
1984, 0
1985, 0
1986, 0
1987, 0
1988, 0
1989, 0
1990, 0
1991, 0
1992, 0
1993, 0
1994, 183.9
1995, 52.6
1996, 219.6
1997, 0
1998, 0
1999, 216
2000, 0
2001, 109.6
2002, 0
2003, 0
2004, 0
2005, 92.2
2006, 0
2007, 107.4
2008, 0
2009, 60.2
2010, 51.8
2011, 0
2012, 0
2013, 0
2014, 0
2015, 113.2
2016, 114.6
2017, 175.6
2018, 60.6
2019, -99.9
