year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 9.68, 3.57, 3.16, 3.33, 0, 0, 3.23, 9.68, 0, 0, 10, 5.63, 4.03
1972, 12.56, 40.57, 12.9, 3.33, 0, 0, 0, 0, 0, 0, 0, 22.58, 7.58
1973, 19.35, 0, 0, 0, 0, 6.67, 12.77, 0, 22.7, 6.45, 0, 6.45, 6.24
1974, 3.09, 9.88, 12.56, 0, 5.7, 3.33, 6.45, 6.45, 6.24, 0, 0, 0, 4.45
1975, 9.61, 0, 6.45, 3.33, 15.79, 0, 5.97, 6.45, 28.87, 6.45, 0, 0, 6.95
1976, 12.77, 34.19, 9.09, -99.9, 3.6, 0, 0, 0, 3.33, 9.68, 3.33, 9.68, -99.9
1977, 26.67, 24.16, 16.13, 0, 6.45, 0, 0, 0, 0, 8.72, 0, 0, 6.78
1978, 18.74, 3.57, 20, 3.33, 0, 3.19, 0, 0, 0, 3.23, 0, 3.57, 4.68
1979, 6.03, 31.69, 15.74, 0, 0, 0, 0, 0, 3.26, 19.53, -99.9, 8.33, -99.9
1980, 5.56, 2.57, 3.23, 0, 0, 0, 0, 3.23, 6.67, 11.91, 0, 3.23, 3.06
1981, 0, 2.74, 14.82, 10, 0, 0, 0, 0, 16.67, 0, -99.9, 0, -99.9
1982, 0, 0, 0, 0, 0, 0, 0, 0, 3.45, 3.23, 10, 6.45, 1.93
1983, 0, 0, 3.23, 3.33, 0, 0, 6.45, 3.23, 0, 0, 0, 3.16, 1.64
1984, 0, 0, -99.9, 0, 0, 0, 3.23, 0, 0, 6.45, 0, 34.66, -99.9
1985, 0, 0, 16.13, 3.33, 5.63, 5.89, 6.45, 0, 3.33, 3.23, 0, 21.55, 5.53
1986, 9.54, 3.57, 0, 10, 22.37, 0, 0, 3.23, 3.33, 0, 0, 0, 4.35
1987, 0, 0, 0, 0, 0, 0, 0, 0, 13.33, 12.9, 0, 5.63, 2.67
1988, 25.74, 3.45, 0, 0, 0, 0, 0, 3.23, 0, 12.9, 0, 0, 3.83
1989, 0, 17.02, 3.33, 3.33, 0, 0, 0, 0, 0, 0, 0, 6.45, 2.41
1990, 6.45, 14.29, 0, 0, 3.23, 0, 0, 0, 0, 22.51, 10, 0, 4.65
1991, 6.04, 0, 13.33, 0, 0, 0, 0, 0, 3.33, 5.97, 0, 0, 2.43
1992, 0, 0, 0, 0, 0, 6.03, 0, 0, 0, 0, 0, 5.97, 1
1993, 0, 0, 0, 0, 0, 3.19, 0, 2.88, 0, 3.23, 0, 0, 0.78
1994, 16.13, 0, 0, 0, 2.47, 0, 0, 5.97, 9.57, 6.45, 6.67, 12.56, 5.04
1995, 3.23, 6.84, 0, 0, 0, 0, 0, 0, 0, 0, 3.33, 6.45, 1.62
1996, 12.42, 0, 0, 0, 0, 0, 0, 0, 0, 3.23, 19.79, 25.39, 5.11
1997, 9.68, 0, 0, 0, 0, 13.26, 0, 0, 6.67, 6.45, 9.01, 6.31, 4.28
1998, 3.23, 3.57, 0, 0, 0, 9.72, 0, 9.68, 0, 3.23, 0, 0, 2.44
1999, 9.68, 0, 0, 3.33, 6.04, 6.67, 0, 9.68, 6.67, 8.85, 9.29, 2.54, 5.26
2000, 0, 0, 3.23, 3.33, 15.17, 6.45, 3.23, 0, 0, 12.9, 9.5, 25.12, 6.65
2001, 18.87, 3.12, 31.85, 0, 6.9, 0, 0, 6.68, 0, 18.52, 0, 0, -99.9
2002, 6.25, 10.71, 6.45, 3.33, 5.22, 3.33, 0, 0, 2.91, 6.38, 40, 31.02, 9.59
2003, 8.79, 0, 0, 3.26, 5.77, 22.62, 2.81, 44.75, 3.33, 6.45, 33.12, 15.79, 12.29
2004, 3.23, 0, 2.75, 0, 3.09, 0, 0, 3.23, 0, 33.19, 20, 13.33, 6.64
2005, 0, 0, 35.28, 0, 21.89, 32.41, 15.79, 3.23, 12.84, 12.9, 16.1, 6.45, 13.16
2006, 0, 6.99, 6.25, 29.5, 22.58, 42.2, 28.55, 6.45, 23.12, 30.61, 16.45, 29.03, 20.17
2007, 32.26, 39.29, 35.35, 32.2, 44.41, 29.22, 34.39, 15.92, 10, 9.68, 0, 0, 23.49
2008, 28.89, 20.1, 22.03, 12.84, 21.62, 29.72, 25.74, 33.56, 39.43, 18.12, 23.33, 25.81, 25.18
2009, 15.37, 21.43, 0, 39.43, 51.61, 10, 22.1, 45.16, 16.67, 32.26, 28.65, 9.4, 24.37
2010, 6.45, 10.64, 22.51, 13.33, 25.67, 23.12, 44.2, 19.29, 3.33, 6.45, 22.7, 6.45, 17.08
2011, 0, 14.29, 21.35, 30, 18.67, 16.24, 22.58, 32.26, 56.67, 0, 13.33, 19.01, 20.32
2012, 3.16, 3.45, 15.17, 16.45, 25.33, 42.77, 54.08, 66.03, 26.67, 28.89, 19.08, 12.77, 26.35
2013, 8.99, 0, 12.01, 36.24, 32.19, 23.26, 15.99, 22.37, 19.43, 32.26, 39.01, 22.58, 22.13
2014, 63.76, 67.02, 24.43, 43.12, 6.25, 22.91, 3.23, 12.9, 6.6, 41.94, 59.29, 45.02, 32.76
2015, 19.08, 17.71, 22.17, 26.67, 44.75, 29.22, 73.71, 18.87, 40, 9.33, 2.48, 18.26, 26.95
2016, 16.13, 54.95, 28, 52.91, 12.83, 9.5, 38.57, 6.45, 36.88, 8.92, 20, 3.23, 23.86
2017, 0, 17.02, 29.03, 39.79, 18.87, 66.45, 35.48, 45.02, 3.33, 0, 0, 12.9, 22.31
2018, 31.78, 3.57, 24.78, 42.06, 48.04, 36.67, 25.19, 43.99, 49.72, 16.13, 51.84, 0, 31.22
2019, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
