year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1987, 48, 39.2, 11.2, 12, 16.8, 17, 13.2, 8.4, 9.2, 36.2, 71.4, 94, 94
1988, 5.3, 24.7, 14.3, 12.2, 31.7, 90.9, 0.6, 50.9, 24.5, 10.9, 14.9, 18.1, 90.9
1989, 18.5, 8.7, 8.2, 18.7, 31.4, 10.3, 90.4, 27, 33.55, 12.1, 36.8, 2.4, 90.4
1990, 1.9, 14.4, 70.7, 59.1, 6.4, 8.8, 9.6, 17.6, 19.7, 46.6, 31.6, 27.7, 70.7
1991, 17.3, 11.6, 15.1, 72, 53.7, 35.4, 28.1, 27.3, 19.8, 39.9, 68.3, 22, 72
1992, 11.2, 16, 20.6, 20.2, 20.2, 54.1, 23.1, 28.2, 13.6, 62.5, 44.1, 94, 94
1993, 1.5, 1.4, 29.7, 31, 8.2, 26.8, 36, 82.5, 59.6, 55.6, 25.9, 28.3, 82.5
1994, 32.7, 10.7, 9.7, 80.7, 9.9, 106.4, 20.9, 10.8, 124.7, 18.6, 25.6, 12.5, 124.7
1995, 5.7, 32.2, 28, 16, 53.1, 93.5, 25.8, 54.1, 21.2, 12.4, 33.5, 50.8, 93.5
1996, 30.8, 61.6, 43.2, 43, 62.8, 27.6, 13.2, 18.8, 78.8, 117, 24.8, 82.4, 117
1997, 29, 13, 36, 69.8, 24, 32.2, 11.4, 31.3, 31.8, 26.4, 57.8, 106.2, 106.2
1998, 14.2, 12.4, 28, 20, 42.6, 24.4, 25.2, 2.8, 57.4, 53.1, 22, 47.2, 57.4
1999, 24, 26.6, 11.8, 14.2, 39.6, 84, 6.8, 114.2, 112.6, 34.7, 123.4, 46.2, 123.4
2000, 30.2, 10, 18.4, 21.6, 4.8, 10.2, 43, 21.4, 17.4, 86.8, 50.2, 60.6, 86.8
2001, 60, 59.8, 49.2, 65.8, 42.2, 5.2, 17.2, 109.8, 35.4, 19.4, 33.4, 25.8, 109.8
2002, 15.6, 39.4, 0.6, 66.2, 43.4, 10.8, 69.2, 100, 74.8, 43.2, 24.8, 62.6, 100
2003, 52.4, 15.6, 30.8, 13.2, 27.4, 1.6, 13.8, 9, 21.2, 47.8, 43.2, 29.2, 52.4
2004, 32.8, 51, 48.8, 27.2, 16.4, 15.4, 20.2, 9, 28.2, 39.2, 41.2, 74.4, 74.4
2005, 5.4, 48.2, 29.2, 89.2, 25, 10.6, 6.8, 66.4, 115, 113.4, 39.2, 49.2, 115
2006, 7.2, 27.4, 28.6, 31.4, 34.6, 21.8, 7, 47.6, 66, 16.2, 20.6, 3, 66
2007, 13.4, 24.2, 82.4, 21.8, 33.4, 33.4, 5, 19.2, 120.4, 67.2, 45.8, 40.4, 120.4
2008, 14.4, 25.4, 55.6, 27, 50.8, 26, 24.6, 24.6, 31, 14.8, 30, 46, 55.6
2009, 30.6, 22.6, 21.8, 35.8, 6.4, 13, 6.4, 8.8, 10, 82.4, 8.6, 29, 82.4
2010, 42, 40, 41.6, 36.4, 72.8, 23.6, 21.4, 52.4, 34.4, 31.6, 40.2, 67.6, 72.8
2011, 16.8, 19.2, 81.4, 7, 18.6, 22.6, 28.6, 24.2, 25.2, 20.8, 6.8, 9.8, 81.4
2012, 7.4, 19.4, 0.8, 50.6, 20.4, 4.2, 14.8, 1.4, 75.4, 23.4, 43.8, 70.2, 75.4
2013, 42.2, 84.2, 40.4, 28.6, 14.4, 14.2, 28.4, 23.2, 22.8, 92.8, 50.2, 4.6, 92.8
2014, 37.4, 46.8, 45.8, 24.8, 34.6, 29.6, 32, 48, 26.8, 58.4, 30.2, 58.2, 58.4
2015, 23, 95, 47, 26.2, 100.8, 70.4, 0, 32.2, 14.2, 51.6, 41.4, 0.8, 100.8
2016, 14, 65.6, 39.2, 38, 26.6, 73, 13.4, 15, 54.2, 6.8, 58.2, 26.4, 73
2017, 15, 21.4, 13.2, 37.4, 28.8, 37.2, 37.2, 15.8, 23.6, 14.4, 131.8, 17.6, 131.8
2018, 14.4, 71.6, 62.4, 8, 26.4, 60.2, 14.6, 56.4, 18, 65.4, 43.8, 32.4, 71.6
2019, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
