year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1970, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9, -99.9
1971, 38, 18.6, 24.4, 16.8, 26.8, 16.6, 26, 8.8, 81, 23.6, 54.6, 39.4, 81
1972, 77.4, 41.6, 25.2, 73.2, 18.4, 8.6, 42.4, 45.2, 99, 15, 39, 37.6, 99
1973, 62.6, 33.4, 83.8, 44.6, 16.6, 28, 41, 11.4, 128.6, 76.4, 21.4, 11, 128.6
1974, 15.6, 16.6, 32.2, 26, 36.4, 24.8, 53.6, 39.6, 18.2, 23.8, 33.2, 10.8, 53.6
1975, 3.2, 20.2, 17.2, 29, 43.4, 66, 22.2, 65.8, 17.4, 93.4, 57.2, 5.6, 93.4
1976, 9.2, 46.6, 28, 24, 24, 18.4, 25.4, 84, 89.4, 58.4, 31, 17.8, 89.4
1977, 13.8, 15.4, 53.2, 53.2, 10, 14.8, 47.6, 48.9, 21.8, 33.4, 52.8, 43.6, 53.2
1978, 39.8, 13.8, 27.8, 37, 21.4, 25.8, 26, 16.2, 12, 76.3, 48.7, 43.3, 76.3
1979, 19.2, 32, 23, 10.8, 3, 12.4, 124.4, 88.6, 64, 10, 61.6, 27, 124.4
1980, 14.4, 7.2, 18.4, 39.6, 29.5, 17.8, 4.6, 14, 11, 25.8, 119.6, 60.2, 119.6
1981, 69.6, 10.8, 19.6, 13.6, 32.4, 112.1, 16.6, 27.8, 83.6, 42.8, 3.4, 31.8, 112.1
1982, 16, 5, 52, 23.8, 48.2, 11.4, 42, 59.2, 34, 49, 73, 103.8, 103.8
1983, 10.6, 11, 17, 17.4, 12.4, 16.2, 16.2, 36, 20.2, 36.2, 5, 21.3, 36.2
1984, 9.8, 37.4, 56.6, 24.8, 38.8, 14.8, 15, 35.8, 41.6, 52, 24.6, 22.4, 56.6
1985, 15.6, 18, 24.2, 20.4, 23.8, 12.4, 12.4, 14.8, 1.2, 39.6, 42.4, 24, 42.4
1986, 38.6, 27.2, 39.6, 30.8, 30.4, 25, 61.6, 4.4, 12.6, 22.8, 14.4, 8.4, 61.6
